Date	Species	Strain	logCFU	CFU
20111101	MO	MO.1	4.681241237	48000
20111101	MO	MO.1	4.579783597	38000
20111101	MO	MO.1	4.477121255	30000
20111101	MO	MO.1	4.477121255	30000
20111101	MO	MO.1	4.477121255	30000
20111101	MO	MO.1	4	10000
20111101	MO	MO.1	3.716003344	5200
20111101	MO	MO.1	3.662757832	4600
20111101	MO	MO.1	3.556302501	3600
20111101	MO	MO.1	3.380211242	2400
20111101	MO	MO.1	2.806179974	640
20210119	MO	MO.2	5.716003344	520000
20210119	MO	MO.2	5.681241237	480000
20210119	MO	MO.2	5.643452676	440000
20210119	MO	MO.2	5.602059991	400000
20210119	MO	MO.2	5.579783597	380000
20210119	MO	MO.2	5.531478917	340000
20210119	MO	MO.2	5.414973348	260000
20210119	MO	MO.2	5.255272505	180000
20210119	MO	MO.2	5.204119983	160000
20210119	MO	MO.2	5.204119983	160000
20210119	MO	MO.2	4.913813852	82000
20210119	MO	MO.2	4.819543936	66000
20210119	MO	MO.2	4.77815125	60000
20210119	MO	MO.2	4.763427994	58000
20210119	MO	MO.2	4.698970004	50000
20210119	MO	MO.2	4.698970004	50000
20210119	MO	MO.2	4.662757832	46000
20210119	MO	MO.2	4.62324929	42000
20210119	MO	MO.2	4.62324929	42000
20210119	MO	MO.2	4.602059991	40000
20210119	MO	MO.2	4.579783597	38000
20210119	MO	MO.2	4.531478917	34000
20210119	MO	MO.2	4.531478917	34000
20210119	MO	MO.2	4.342422681	22000
20200902	MO	MO.2	5.556302501	360000
20200902	MO	MO.2	5.447158031	280000
20200902	MO	MO.2	5.380211242	240000
20200902	MO	MO.2	4.903089987	80000
20200902	MO	MO.2	4.73239376	54000
20200902	MO	MO.2	4.579783597	38000
20200902	MO	MO.2	4.380211242	24000
20200902	MO	MO.2	4.255272505	18000
20200902	MO	MO.2	4	10000
20200902	MO	MO.2	3.204119983	1600
20200902	MO	MO.2	2.903089987	800
20200902	MO	MO.2	2.77815125	600
20111101	MO	MO.2	4.77815125	60000
20111101	MO	MO.2	4.77815125	60000
20111101	MO	MO.2	4.763427994	58000
20111101	MO	MO.2	4.73239376	54000
20111101	MO	MO.2	4.698970004	50000
20111101	MO	MO.2	4.579783597	38000
20111101	MO	MO.2	4.477121255	30000
20111101	MO	MO.2	4.447158031	28000
20111101	MO	MO.2	4.380211242	24000
20111101	MO	MO.2	4.146128036	14000
20111101	MO	MO.2	3.505149978	3200
20111101	MO	MO.2	3.505149978	3200
20210119	MO	MO.3	5.643452676	440000
20210119	MO	MO.3	5.62324929	420000
20210119	MO	MO.3	5.62324929	420000
20210119	MO	MO.3	5.62324929	420000
20210119	MO	MO.3	5.579783597	380000
20210119	MO	MO.3	5.556302501	360000
20210119	MO	MO.3	5.556302501	360000
20210119	MO	MO.3	5.505149978	320000
20210119	MO	MO.3	5.477121255	300000
20210119	MO	MO.3	5.414973348	260000
20210119	MO	MO.3	5.414973348	260000
20210119	MO	MO.3	5.414973348	260000
20210119	MO	MO.3	5.301029996	200000
20210119	MO	MO.3	5.255272505	180000
20210119	MO	MO.3	5.255272505	180000
20210119	MO	MO.3	5.255272505	180000
20210119	MO	MO.3	5.204119983	160000
20210119	MO	MO.3	5.079181246	120000
20210119	MO	MO.3	5.079181246	120000
20210119	MO	MO.3	5	100000
20210119	MO	MO.3	4.698970004	50000
20210119	MO	MO.3	4.681241237	48000
20210119	MO	MO.3	4.255272505	18000
20210119	MO	MO.3	3.505149978	3200
20200902	MO	MO.3	5.748188027	560000
20200902	MO	MO.3	5.447158031	280000
20200902	MO	MO.3	5.414973348	260000
20200902	MO	MO.3	5.342422681	220000
20200902	MO	MO.3	5.204119983	160000
20200902	MO	MO.3	5.146128036	140000
20200902	MO	MO.3	5.079181246	120000
20200902	MO	MO.3	5	100000
20200902	MO	MO.3	4.806179974	64000
